[2026-06-14T12:03:59+00:00] Started evaluation run
[2026-06-14T12:03:59+00:00] Loading detector: hf_securebert2_vuln
[2026-06-14T12:04:05+00:00] Loading detector: hf_graphcodebert_devign
[2026-06-14T12:04:05+00:00] Loading detector: hf_codebert_devign
[2026-06-14T12:04:06+00:00] Loading detector: semgrep
[2026-06-14T12:04:06+00:00] Loading detector: cppcheck
[2026-06-14T12:04:06+00:00] Loading detector: flawfinder
[2026-06-14T12:04:06+00:00] Loading detector: clang_static_analyzer
[2026-06-14T12:04:06+00:00] Loading detector: clang_tidy_security
[2026-06-14T12:04:06+00:00] Evaluating snippet: snippet_0001
[2026-06-14T12:04:10+00:00] Evaluating snippet: snippet_0002
[2026-06-14T12:04:14+00:00] Evaluating snippet: snippet_0003
[2026-06-14T12:04:18+00:00] Evaluating snippet: snippet_0004
[2026-06-14T12:04:22+00:00] Evaluating snippet: snippet_0005
[2026-06-14T12:04:26+00:00] Evaluating snippet: snippet_0006
[2026-06-14T12:04:29+00:00] Evaluating snippet: snippet_0007
[2026-06-14T12:04:33+00:00] Evaluating snippet: snippet_0008
[2026-06-14T12:04:37+00:00] Evaluating snippet: snippet_0009
[2026-06-14T12:04:40+00:00] Evaluating snippet: snippet_0010
[2026-06-14T12:04:44+00:00] Evaluating snippet: snippet_0011
[2026-06-14T12:04:48+00:00] Evaluating snippet: snippet_0012
[2026-06-14T12:04:52+00:00] Evaluating snippet: snippet_0013
[2026-06-14T12:04:56+00:00] Evaluating snippet: snippet_0014
[2026-06-14T12:04:59+00:00] Evaluating snippet: snippet_0015
[2026-06-14T12:05:03+00:00] Evaluating snippet: snippet_0016
[2026-06-14T12:05:07+00:00] Evaluating snippet: snippet_0017
[2026-06-14T12:05:11+00:00] Evaluating snippet: snippet_0018
[2026-06-14T12:05:15+00:00] Evaluating snippet: snippet_0019
[2026-06-14T12:05:19+00:00] Evaluating snippet: snippet_0020
[2026-06-14T12:05:23+00:00] Evaluating snippet: snippet_0021
[2026-06-14T12:05:27+00:00] Evaluating snippet: snippet_0022
[2026-06-14T12:05:31+00:00] Evaluating snippet: snippet_0023
[2026-06-14T12:05:35+00:00] Evaluating snippet: snippet_0024
[2026-06-14T12:05:38+00:00] Evaluating snippet: snippet_0025
[2026-06-14T12:05:42+00:00] Evaluating snippet: snippet_0026
[2026-06-14T12:05:46+00:00] Evaluating snippet: snippet_0027
[2026-06-14T12:05:50+00:00] Evaluating snippet: snippet_0028
[2026-06-14T12:05:54+00:00] Evaluating snippet: snippet_0029
[2026-06-14T12:05:57+00:00] Evaluating snippet: snippet_0030
[2026-06-14T12:06:01+00:00] Evaluating snippet: snippet_0031
[2026-06-14T12:06:05+00:00] Evaluating snippet: snippet_0032
[2026-06-14T12:06:09+00:00] Evaluating snippet: snippet_0033
[2026-06-14T12:06:13+00:00] Evaluating snippet: snippet_0034
[2026-06-14T12:06:17+00:00] Evaluating snippet: snippet_0035
[2026-06-14T12:06:21+00:00] Evaluating snippet: snippet_0036
[2026-06-14T12:06:24+00:00] Evaluating snippet: snippet_0037
[2026-06-14T12:06:28+00:00] Evaluating snippet: snippet_0038
[2026-06-14T12:06:32+00:00] Evaluating snippet: snippet_0039
[2026-06-14T12:06:36+00:00] Evaluating snippet: snippet_0040
[2026-06-14T12:06:40+00:00] Evaluating snippet: snippet_0041
[2026-06-14T12:06:43+00:00] Evaluating snippet: snippet_0042
[2026-06-14T12:06:48+00:00] Evaluating snippet: snippet_0043
[2026-06-14T12:06:51+00:00] Evaluating snippet: snippet_0044
[2026-06-14T12:06:55+00:00] Evaluating snippet: snippet_0045
[2026-06-14T12:06:59+00:00] Evaluating snippet: snippet_0046
[2026-06-14T12:07:03+00:00] Evaluating snippet: snippet_0047
[2026-06-14T12:07:10+00:00] Evaluating snippet: snippet_0048
[2026-06-14T12:07:14+00:00] Evaluating snippet: snippet_0049
[2026-06-14T12:07:17+00:00] Evaluating snippet: snippet_0050
[2026-06-14T12:07:22+00:00] Evaluating snippet: snippet_0051
[2026-06-14T12:07:26+00:00] Evaluating snippet: snippet_0052
[2026-06-14T12:07:30+00:00] Evaluating snippet: snippet_0053
[2026-06-14T12:07:34+00:00] Evaluating snippet: snippet_0054
[2026-06-14T12:07:38+00:00] Evaluating snippet: snippet_0055
[2026-06-14T12:07:42+00:00] Evaluating snippet: snippet_0056
[2026-06-14T12:07:45+00:00] Evaluating snippet: snippet_0057
[2026-06-14T12:07:49+00:00] Evaluating snippet: snippet_0058
[2026-06-14T12:07:53+00:00] Evaluating snippet: snippet_0059
[2026-06-14T12:07:57+00:00] Evaluating snippet: snippet_0060
[2026-06-14T12:08:01+00:00] Evaluating snippet: snippet_0061
[2026-06-14T12:08:05+00:00] Evaluating snippet: snippet_0062
[2026-06-14T12:08:11+00:00] Evaluating snippet: snippet_0063
[2026-06-14T12:08:15+00:00] Evaluating snippet: snippet_0064
[2026-06-14T12:08:19+00:00] Evaluating snippet: snippet_0065
[2026-06-14T12:08:22+00:00] Evaluating snippet: snippet_0066
[2026-06-14T12:08:26+00:00] Evaluating snippet: snippet_0067
[2026-06-14T12:08:30+00:00] Evaluating snippet: snippet_0068
[2026-06-14T12:08:34+00:00] Evaluating snippet: snippet_0069
[2026-06-14T12:08:38+00:00] Evaluating snippet: snippet_0070
[2026-06-14T12:08:42+00:00] Evaluating snippet: snippet_0071
