[2026-06-20T19:51:06+00:00] Started evaluation run
[2026-06-20T19:51:06+00:00] Loading detector: hf_securebert2_vuln
[2026-06-20T19:51:20+00:00] Loading detector: hf_graphcodebert_devign
[2026-06-20T19:51:21+00:00] Loading detector: hf_codebert_devign
[2026-06-20T19:51:22+00:00] Loading detector: semgrep
[2026-06-20T19:51:22+00:00] Loading detector: cppcheck
[2026-06-20T19:51:22+00:00] Loading detector: flawfinder
[2026-06-20T19:51:22+00:00] Loading detector: clang_static_analyzer
[2026-06-20T19:51:22+00:00] Loading detector: clang_tidy_security
[2026-06-20T19:51:22+00:00] Evaluating snippet: snippet_0001
[2026-06-20T19:51:33+00:00] Evaluating snippet: snippet_0002
[2026-06-20T19:51:39+00:00] Evaluating snippet: snippet_0003
[2026-06-20T19:51:45+00:00] Evaluating snippet: snippet_0004
[2026-06-20T19:51:52+00:00] Evaluating snippet: snippet_0005
[2026-06-20T19:51:58+00:00] Evaluating snippet: snippet_0006
[2026-06-20T19:52:05+00:00] Evaluating snippet: snippet_0007
[2026-06-20T19:52:12+00:00] Evaluating snippet: snippet_0008
[2026-06-20T19:52:18+00:00] Evaluating snippet: snippet_0009
[2026-06-20T19:52:24+00:00] Evaluating snippet: snippet_0010
[2026-06-20T19:52:31+00:00] Evaluating snippet: snippet_0011
[2026-06-20T19:52:39+00:00] Evaluating snippet: snippet_0012
[2026-06-20T19:52:45+00:00] Evaluating snippet: snippet_0013
[2026-06-20T19:52:52+00:00] Evaluating snippet: snippet_0014
[2026-06-20T19:52:59+00:00] Evaluating snippet: snippet_0015
[2026-06-20T19:53:05+00:00] Evaluating snippet: snippet_0016
[2026-06-20T19:53:12+00:00] Evaluating snippet: snippet_0017
[2026-06-20T19:53:18+00:00] Evaluating snippet: snippet_0018
[2026-06-20T19:53:25+00:00] Evaluating snippet: snippet_0019
[2026-06-20T19:53:32+00:00] Evaluating snippet: snippet_0020
[2026-06-20T19:53:38+00:00] Evaluating snippet: snippet_0021
[2026-06-20T19:53:46+00:00] Evaluating snippet: snippet_0022
[2026-06-20T19:53:53+00:00] Evaluating snippet: snippet_0023
[2026-06-20T19:54:00+00:00] Evaluating snippet: snippet_0024
[2026-06-20T19:54:06+00:00] Evaluating snippet: snippet_0025
[2026-06-20T19:54:14+00:00] Evaluating snippet: snippet_0026
[2026-06-20T19:54:20+00:00] Evaluating snippet: snippet_0027
[2026-06-20T19:54:28+00:00] Evaluating snippet: snippet_0028
[2026-06-20T19:54:34+00:00] Evaluating snippet: snippet_0029
[2026-06-20T19:54:41+00:00] Evaluating snippet: snippet_0030
[2026-06-20T19:54:49+00:00] Evaluating snippet: snippet_0031
[2026-06-20T19:54:55+00:00] Evaluating snippet: snippet_0032
[2026-06-20T19:55:02+00:00] Evaluating snippet: snippet_0033
[2026-06-20T19:55:08+00:00] Evaluating snippet: snippet_0034
[2026-06-20T19:55:15+00:00] Evaluating snippet: snippet_0035
[2026-06-20T19:55:22+00:00] Evaluating snippet: snippet_0036
[2026-06-20T19:55:28+00:00] Evaluating snippet: snippet_0037
[2026-06-20T19:55:35+00:00] Evaluating snippet: snippet_0038
[2026-06-20T19:55:41+00:00] Evaluating snippet: snippet_0039
[2026-06-20T19:55:48+00:00] Evaluating snippet: snippet_0040
[2026-06-20T19:55:56+00:00] Evaluating snippet: snippet_0041
[2026-06-20T19:56:05+00:00] Evaluating snippet: snippet_0042
[2026-06-20T19:56:12+00:00] Evaluating snippet: snippet_0043
[2026-06-20T19:56:19+00:00] Evaluating snippet: snippet_0044
[2026-06-20T19:56:26+00:00] Evaluating snippet: snippet_0045
